DAY,JOB_ID,ASSIGNED_PRINTER,PRINTING_START,PRINTING_FINISH,ASSIGNED_POSTPROCESS_WORKER,POSTPROCESSING_START,POSTPROCESSING_FINISH,ASSIGNED_PACKAGING_WORKER,PACKAGING_START,PACKAGING_FINISH
1,2,2,16.237944637167907,16.737944637167907,0,16.737944637167907,18.737944637167907,0,18.737944637167907,18.904611303834574
1,1,1,16.237944637167907,17.07127797050124,1,17.07127797050124,19.07127797050124,0,19.07127797050124,19.354611303834574
1,6,1,17.07127797050124,17.37127797050124,2,17.37127797050124,18.37127797050124,0,18.37127797050124,18.62127797050124
1,0,0,16.237944637167907,18.104611303834574,3,18.104611303834574,21.104611303834574,0,21.104611303834574,21.287944637167907
1,5,2,16.737944637167907,18.57127797050124,2,18.57127797050124,21.57127797050124,1,21.57127797050124,21.854611303834574
1,7,1,17.37127797050124,18.737944637167907,0,18.737944637167907,21.737944637167907,0,21.737944637167907,21.987944637167907
1,10,1,18.737944637167907,19.02127797050124,4,19.02127797050124,22.02127797050124,0,22.02127797050124,22.304611303834577
1,9,2,18.57127797050124,19.20461130383457,1,19.20461130383457,23.20461130383457,0,23.20461130383457,23.437944637167906
1,11,1,19.02127797050124,19.371277970501243,5,19.371277970501243,21.371277970501243,0,21.371277970501243,21.604611303834577
1,4,4,16.237944637167907,20.271277970501238,3,21.104611303834574,26.104611303834574,0,26.104611303834574,26.287944637167907
1,3,3,16.237944637167907,20.354611303834574,5,21.371277970501243,25.371277970501243,2,25.371277970501243,25.604611303834577
1,14,4,20.271277970501238,20.387944637167905,2,21.57127797050124,23.57127797050124,0,23.57127797050124,23.82127797050124
1,16,4,20.387944637167905,20.771277970501238,0,21.737944637167907,23.737944637167907,1,23.737944637167907,23.937944637167906
1,13,1,19.371277970501243,21.28794463716791,3,21.28794463716791,25.28794463716791,1,25.28794463716791,25.504611303834576
1,17,4,20.771277970501238,22.487944637167903,0,22.487944637167903,25.487944637167903,0,25.487944637167903,25.687944637167902
1,15,3,20.354611303834574,23.071277970501242,2,23.071277970501242,27.071277970501242,0,27.071277970501242,27.287944637167907
1,19,4,22.487944637167903,23.187944637167902,4,23.187944637167902,25.187944637167902,0,25.187944637167902,25.454611303834568
1,12,2,19.20461130383457,25.80461130383457,0,25.80461130383457,30.80461130383457,0,30.80461130383457,31.021277970501234
1,8,0,18.104611303834574,28.18794463716791,1,28.18794463716791,33.18794463716791,0,33.18794463716791,33.43794463716791
1,18,1,21.28794463716791,30.221277970501244,2,30.221277970501244,35.22127797050125,0,35.22127797050125,35.40461130383458
2,20,3,31.760682684490696,33.444016017824026,0,33.444016017824026,37.444016017824026,0,37.444016017824026,37.627349351157356
2,23,0,31.760682684490696,36.56068268449069,1,36.56068268449069,40.56068268449069,0,40.56068268449069,40.760682684490696
2,24,1,31.760682684490696,38.09401601782403,0,38.09401601782403,44.09401601782403,0,44.09401601782403,44.27734935115736
2,27,1,38.09401601782403,41.92734935115737,1,41.92734935115737,45.92734935115737,0,45.92734935115737,46.1606826844907
2,25,3,33.444016017824026,45.72734935115736,0,45.72734935115736,51.72734935115736,0,51.72734935115736,51.89401601782402
2,26,0,36.56068268449069,45.92734935115736,2,45.92734935115736,50.92734935115736,0,50.92734935115736,51.21068268449069
2,30,0,45.92734935115736,46.39401601782403,1,46.39401601782403,49.39401601782403,1,49.39401601782403,49.7106826844907
2,31,0,46.39401601782403,46.57734935115736,3,46.57734935115736,48.57734935115736,0,48.57734935115736,48.76068268449069
2,29,3,45.72734935115736,46.66068268449069,4,46.66068268449069,49.66068268449069,0,49.66068268449069,49.84401601782402
2,32,0,46.57734935115736,47.31068268449069,5,47.31068268449069,49.31068268449069,0,49.31068268449069,49.49401601782402
2,33,3,46.66068268449069,47.36068268449069,3,48.57734935115736,51.57734935115736,1,51.57734935115736,51.76068268449069
2,22,2,31.760682684490696,47.410682684490695,5,49.31068268449069,55.31068268449069,0,55.31068268449069,55.47734935115736
2,36,2,47.410682684490695,47.727349351157365,1,49.39401601782403,51.39401601782403,0,51.39401601782403,51.7106826844907
2,34,0,47.31068268449069,48.14401601782403,4,49.66068268449069,53.66068268449069,0,53.66068268449069,53.82734935115735
2,28,1,41.92734935115737,50.74401601782404,1,50.74401601782404,55.74401601782404,0,55.74401601782404,55.97734935115737
2,21,4,31.760682684490696,51.077349351157366,2,51.077349351157366,58.077349351157366,0,58.077349351157366,58.4106826844907
2,37,2,47.727349351157365,56.077349351157366,0,56.077349351157366,61.077349351157366,0,61.077349351157366,61.260682684490696
3,38,0,48.14401601782403,57.6106826844907,1,57.6106826844907,63.6106826844907,0,63.6106826844907,63.77734935115736
2,35,3,47.36068268449069,58.17734935115736,2,58.17734935115736,63.17734935115736,0,63.17734935115736,63.47734935115736
3,41,2,56.077349351157366,58.34401601782403,3,58.34401601782403,62.34401601782403,0,62.34401601782403,62.59401601782403
3,44,2,58.34401601782403,58.727349351157365,4,58.727349351157365,60.727349351157365,0,60.727349351157365,61.044016017824035
